FID,OBJECTID,SHAPE,TEXT13ID,LAENGE,SE_ANNO_CAD_DATA
OEFFGRUENLINGOGD.776,776,"LINESTRING (16.457899362569176 48.21430497280729, 16.45797549559215 48.21432104202882)",Mühlwasser,5.93338467,
OEFFGRUENLINGOGD.777,777,"LINESTRING (16.458175816580322 48.213488893749755, 16.45822372642002 48.21348179669979)",Mühlwasser,3.64695647,
OEFFGRUENLINGOGD.778,778,"LINESTRING (16.4586028285104 48.20880123650164, 16.458621558177263 48.20874863791987)",Mühlwasser,6.01211146,
OEFFGRUENLINGOGD.779,779,"LINESTRING (16.465074938684218 48.209466613933316, 16.465175387261436 48.20944083643254)",Mühlwasser,7.99703349,
OEFFGRUENLINGOGD.780,780,"LINESTRING (16.47136225056019 48.210412164618624, 16.47136833507789 48.210444410583406)",Mühlwasser,3.61401325,
OEFFGRUENLINGOGD.781,781,"LINESTRING (16.469367833935717 48.210469858391804, 16.469368318347065 48.21049475273912)",Mühlwasser,2.76837582,
OEFFGRUENLINGOGD.782,782,"LINESTRING (16.467419279383755 48.21054222027444, 16.467424688455136 48.21058279040237)",Mühlwasser,4.52909639,
OEFFGRUENLINGOGD.783,783,"LINESTRING (16.462568423307452 48.2086169649936, 16.462573688290515 48.208558617753106)",Mühlwasser,6.49974348,
OEFFGRUENLINGOGD.784,784,"LINESTRING (16.463877723900744 48.208606871581004, 16.463884021570593 48.20855590293424)",Mühlwasser,5.68678249,
OEFFGRUENLINGOGD.785,785,"LINESTRING (16.46467505503668 48.20871800764138, 16.46475467854807 48.20868406821014)",Mühlwasser,7.01890494,
OEFFGRUENLINGOGD.786,786,"LINESTRING (16.463454287338525 48.20938643138053, 16.463509895549382 48.20951872952723)",Mühlwasser,15.28051802,
OEFFGRUENLINGOGD.787,787,"LINESTRING (16.459291949446857 48.210542417026794, 16.45925448790582 48.210549640026265)",Mühlwasser,2.89774601,
OEFFGRUENLINGOGD.788,788,"LINESTRING (16.337231439509395 48.19303551310653, 16.337203827827555 48.19300428629497)",Park Maria v*,4.03371481,
OEFFGRUENLINGOGD.789,789,"LINESTRING (16.25806609400257 48.19713826435591, 16.257977760325126 48.197166940358514)",Promenade,7.30005391,
OEFFGRUENLINGOGD.790,790,"LINESTRING (16.26040608791509 48.19610797101415, 16.260467292524496 48.19607943358785)",Promenade,5.54734047,
OEFFGRUENLINGOGD.791,791,"LINESTRING (16.260377172253072 48.19589304604372, 16.260362659980363 48.19588196946121)",Promenade,1.63737362,
OEFFGRUENLINGOGD.792,792,"LINESTRING (16.26052112187787 48.196049912823646, 16.260542133603717 48.196070310607325)",Promenade,2.75399892,
OEFFGRUENLINGOGD.793,793,"LINESTRING (16.32143844998795 48.156892420355206, 16.321436347378686 48.15687032635149)",Park Wilhelm*,2.4617052,
OEFFGRUENLINGOGD.794,794,"LINESTRING (16.32628207702058 48.15629628724562, 16.326203781436206 48.156269582275975)",Park Wilhelm*,6.53840921,
OEFFGRUENLINGOGD.795,795,"LINESTRING (16.33062172719031 48.15546385509333, 16.330699538524623 48.15542703943858)",Park Wilhelm*,7.09042846,
OEFFGRUENLINGOGD.796,796,"LINESTRING (16.386236666408696 48.138899223472116, 16.38626714509754 48.138932180447036)",unt. Liesing,4.30987763,
OEFFGRUENLINGOGD.797,797,"LINESTRING (16.415930298746975 48.13305072730898, 16.41587529594235 48.13300672265339)",unt. Liesing,6.37992698,
OEFFGRUENLINGOGD.798,798,"LINESTRING (16.419730244701665 48.13159462051825, 16.419626809625395 48.131687354625335)",Johannesberg,12.86878704,
OEFFGRUENLINGOGD.799,799,"LINESTRING (16.419484430501537 48.128502317913565, 16.419437296160623 48.1284690786963)",Johannesberg,5.09621841,
OEFFGRUENLINGOGD.800,800,"LINESTRING (16.42189033089083 48.13171075347373, 16.421875395703278 48.13165420217797)",unt. Liesing,6.38568042,
OEFFGRUENLINGOGD.801,801,"LINESTRING (16.279082561215517 48.13630953926869, 16.279035328036766 48.136245590636435)",ob. Liesing,7.93228329,
OEFFGRUENLINGOGD.802,802,"LINESTRING (16.279205353947823 48.13646202914969, 16.27927879521146 48.13655754811443)",ob. Liesing,11.94518683,
OEFFGRUENLINGOGD.803,803,"LINESTRING (16.257892313868176 48.13642297297779, 16.257804057338685 48.13640751910875)",ob. Liesing,6.789897,
OEFFGRUENLINGOGD.804,804,"LINESTRING (16.236145009539722 48.137426952007814, 16.236080175149926 48.13742812501432)",WienerwZugb,4.82723596,
OEFFGRUENLINGOGD.805,805,"LINESTRING (16.241686135284574 48.137552909630884, 16.2417002622945 48.1376171647934)",ob. Liesing,7.22174607,
OEFFGRUENLINGOGD.806,806,"LINESTRING (16.28672526331958 48.152456079198835, 16.286626589222298 48.152445385186574)",Pölleritzerg*,7.43761028,
OEFFGRUENLINGOGD.807,807,"LINESTRING (16.287699060252287 48.15159569715185, 16.28770231016515 48.151501037193825)",Pölleritzerg*,10.52842745,
OEFFGRUENLINGOGD.808,808,"LINESTRING (16.291210900577276 48.16235962519632, 16.291243727243543 48.162422474731116)",Am Rosenhügel,7.40290292,
OEFFGRUENLINGOGD.809,809,"LINESTRING (16.315577651747855 48.13690074592291, 16.315511824172216 48.13708399762195)",Perfektastra*,20.95724144,
OEFFGRUENLINGOGD.810,810,"LINESTRING (16.316583895811675 48.135840639775196, 16.31670811049707 48.135830259110435)",Perfektastra*,9.31706759,
OEFFGRUENLINGOGD.811,811,"LINESTRING (16.315300286791278 48.13770179853376, 16.31530014469356 48.13775433459802)",Perfektastra*,5.84170693,
OEFFGRUENLINGOGD.812,812,"LINESTRING (16.314071735209502 48.13702204624232, 16.313990251435527 48.137021807595225)",Perfektastra*,6.06475071,
OEFFGRUENLINGOGD.813,813,"LINESTRING (16.314878337098634 48.141836384206385, 16.314909387822667 48.14190724888633)",Park FriedhE*,8.21158851,
OEFFGRUENLINGOGD.814,814,"LINESTRING (16.32301358171323 48.14406014028958, 16.322847112073415 48.144036352048445)",Goldhammerga*,12.66758913,
OEFFGRUENLINGOGD.815,815,"LINESTRING (16.323420481203907 48.14404555457094, 16.32349396360921 48.144033502638685)",Goldhammerga*,5.63023021,
OEFFGRUENLINGOGD.816,816,"LINESTRING (16.316432935158673 48.14972861975639, 16.31657045294952 48.1496938670768)",Erlaaer Schl*,10.93803458,
OEFFGRUENLINGOGD.817,817,"LINESTRING (16.316488204178718 48.14898759005667, 16.31655251793439 48.14898595431862)",Erlaaer Schl*,4.78910148,
OEFFGRUENLINGOGD.818,818,"LINESTRING (16.287427192708755 48.1364526058815, 16.28747638709316 48.136512555272404)",mit. Liesing,7.60540954,
OEFFGRUENLINGOGD.819,819,"LINESTRING (16.29329202302022 48.141314416673744, 16.293316691578553 48.141402093265825)",mit. Liesing,9.92047576,
OEFFGRUENLINGOGD.820,820,"LINESTRING (16.287830856256512 48.1364886034253, 16.287769959549603 48.136409510649194)",mit. Liesing,9.89389667,
OEFFGRUENLINGOGD.821,821,"LINESTRING (16.28912337315013 48.13738307952895, 16.28910604858427 48.137414432950884)",mit. Liesing,3.71712358,
OEFFGRUENLINGOGD.822,822,"LINESTRING (16.295308133655325 48.143521378920454, 16.295278632317647 48.14357999564421)",mit. Liesing,6.8776613,
OEFFGRUENLINGOGD.823,823,"LINESTRING (16.292766119611823 48.150343527728914, 16.292701956714414 48.1503338690585)",Hödlgasse,4.89360335,
OEFFGRUENLINGOGD.824,824,"LINESTRING (16.294177249935764 48.14928890980384, 16.29416050386292 48.14921433240548)",Hödlgasse,8.38567862,
OEFFGRUENLINGOGD.825,825,"LINESTRING (16.30570552444825 48.154997498688346, 16.305803215907673 48.15500291589975)",Gregorygasse,7.29338056,
OEFFGRUENLINGOGD.826,826,"LINESTRING (16.30577751502094 48.154221660011885, 16.305889830788594 48.154226927216826)",Gregorygasse,8.37716941,
OEFFGRUENLINGOGD.827,827,"LINESTRING (16.319155958673647 48.15763773483084, 16.319153974399747 48.15767157526423)",Altmannsdorf*,3.76576242,
OEFFGRUENLINGOGD.828,828,"LINESTRING (16.319734315335737 48.1542121996059, 16.31971253760338 48.15426031585914)",unt. Liesing,5.59023515,
OEFFGRUENLINGOGD.829,829,"LINESTRING (16.324071633645325 48.15381311616819, 16.324081553012988 48.153828129654954)",unt. Liesing,1.82528063,
OEFFGRUENLINGOGD.830,830,"LINESTRING (16.360654824888343 48.13940054778503, 16.360610971959726 48.13930631203021)",Heizwerkstra*,10.97497738,
OEFFGRUENLINGOGD.831,831,"LINESTRING (16.302252716037827 48.166874821898716, 16.302265121075898 48.16689632209263)",Park Karl-Kr*,2.56260425,
OEFFGRUENLINGOGD.832,832,"LINESTRING (16.30180545047279 48.166995518217135, 16.301773070654466 48.167013052582035)",Park Karl-Kr*,3.09881266,
OEFFGRUENLINGOGD.833,833,"LINESTRING (16.301340509522213 48.166690324377015, 16.30127528660621 48.1667226992213)",Park Karl-Kr*,6.04132638,
OEFFGRUENLINGOGD.834,834,"LINESTRING (16.327335377394554 48.17367484122627, 16.327387900665556 48.17358463049592)",Park Wienerb*,10.76477376,
OEFFGRUENLINGOGD.835,835,"LINESTRING (16.326110860619323 48.1738847931453, 16.32586914766223 48.173904059768425)",Park Wienerb*,18.10458126,
OEFFGRUENLINGOGD.836,836,"LINESTRING (16.373722936941565 48.138436758743694, 16.37373908731176 48.13850854955511)",Rothneusiedl,8.07270231,
OEFFGRUENLINGOGD.837,837,"LINESTRING (16.37545489551945 48.127556674889995, 16.375448024273293 48.12735275587574)",Rothneusiedl,22.68030985,
OEFFGRUENLINGOGD.838,838,"LINESTRING (16.379374807161362 48.1379543487784, 16.37937962216145 48.1380033010247)",Rothneusiedl,5.4549832,
OEFFGRUENLINGOGD.839,839,"LINESTRING (16.36148728666891 48.14664943187496, 16.361300591455024 48.14663861005851)",unt. Liesing,13.94481266,
OEFFGRUENLINGOGD.840,840,"LINESTRING (16.37074066559873 48.143739143971516, 16.37076215856745 48.14374860740548)",unt. Liesing,1.91457828,
OEFFGRUENLINGOGD.841,841,"LINESTRING (16.386906364711074 48.13974868758304, 16.386892244146203 48.13971857262071)",Saßmanngasse,3.50964132,
OEFFGRUENLINGOGD.842,842,"LINESTRING (16.3870065746249 48.140627894107745, 16.38693582984807 48.140639598729216)",Saßmanngasse,5.42351425,
OEFFGRUENLINGOGD.843,843,"LINESTRING (16.392038236159884 48.145015910857765, 16.392042800079448 48.14505337012824)",Ada-Christen*,4.17907763,
OEFFGRUENLINGOGD.844,844,"LINESTRING (16.382658504477995 48.146818469379156, 16.382643525483502 48.14682369874499)",Ada-Christen*,1.25720072,
OEFFGRUENLINGOGD.845,845,"LINESTRING (16.381421516718248 48.209974032934205, 16.38130964258617 48.209975714685434)",Biberstraße,8.3168938,
OEFFGRUENLINGOGD.846,846,"LINESTRING (16.34600742072058 48.18656240349349, 16.34594412930168 48.1865949553875)",Bräuhausgasse,5.93710742,
OEFFGRUENLINGOGD.847,847,"LINESTRING (16.349257842844764 48.18058934066165, 16.34927793164753 48.180610695452025)",Margaretengü*,2.80539076,
OEFFGRUENLINGOGD.848,848,"LINESTRING (16.33435896811261 48.1845796118332, 16.334320212217644 48.18460652524773)",Bruno-Pitter*,4.15463892,
OEFFGRUENLINGOGD.849,849,"LINESTRING (16.351634236246365 48.204707255445584, 16.351512887724315 48.20470827277035)",Park Kirchen*,9.02058666,
OEFFGRUENLINGOGD.850,850,"LINESTRING (16.34612972037765 48.215332248353164, 16.34614813125134 48.215421458042904)",Kinderspital*,10.01363229,
OEFFGRUENLINGOGD.851,851,"LINESTRING (16.329433125994655 48.21643716516287, 16.32943326788196 48.2164952079515)",Adelheid Pop*,6.45410954,
OEFFGRUENLINGOGD.852,852,"LINESTRING (16.330073163784775 48.202476679009735, 16.329850114680184 48.202469566174514)",Burjanplatz,16.59889105,
OEFFGRUENLINGOGD.853,853,"LINESTRING (16.31780913787012 48.22496416113104, 16.317955080585012 48.22493003809839)",Leopold-Kuns*,11.48837506,
OEFFGRUENLINGOGD.854,854,"LINESTRING (16.298271952155666 48.2292976852009, 16.29828570278736 48.22921536557556)",Park Rupertu*,9.210431,
OEFFGRUENLINGOGD.855,855,"LINESTRING (16.28317381146891 48.217081741242005, 16.28311624685772 48.217073468021894)",Liebhartstal*,4.37556803,
OEFFGRUENLINGOGD.856,856,"LINESTRING (16.285124495296873 48.21736995700334, 16.28516719067348 48.21747751795048)",Liebhartstal*,12.37398076,
OEFFGRUENLINGOGD.857,857,"LINESTRING (16.28115135395448 48.20539944497715, 16.28094903606014 48.20535874037202)",Steinhofer P*,15.70453919,
OEFFGRUENLINGOGD.858,858,"LINESTRING (16.280561007015862 48.206477985377376, 16.280457875088256 48.20645768111242)",Steinhofer P*,7.99114264,
OEFFGRUENLINGOGD.859,859,"LINESTRING (16.25972616049613 48.20071017512978, 16.259734863249903 48.20074432894872)",Isbarygasse,3.85245103,
OEFFGRUENLINGOGD.860,860,"LINESTRING (16.244489515012912 48.21759483390409, 16.244391973686387 48.21755306837205)",Knödelhütten*,8.6086222,
OEFFGRUENLINGOGD.861,861,"LINESTRING (16.222926297938024 48.212157868498416, 16.22280537001382 48.212114591209875)",Hadersdorf,10.19458839,
OEFFGRUENLINGOGD.862,862,"LINESTRING (16.226167349660248 48.21200766474865, 16.2261614898431 48.21204539810019)",Hadersdorf,4.21832232,
OEFFGRUENLINGOGD.863,863,"LINESTRING (16.22728861862664 48.21120236160516, 16.22727996644202 48.21115241342226)",Hadersdorf,5.5911171,
OEFFGRUENLINGOGD.864,864,"LINESTRING (16.230666994173415 48.2117505554361, 16.23078318136967 48.211773873257876)",Hadersdorf,9.01592873,
OEFFGRUENLINGOGD.865,865,"LINESTRING (16.23118762765499 48.210766311273616, 16.23122951663165 48.21077056996985)",Hadersdorf,3.14906585,
OEFFGRUENLINGOGD.866,866,"LINESTRING (16.23155832182117 48.20969312528693, 16.231685064367518 48.209717622711125)",Hadersdorf,9.80585755,
OEFFGRUENLINGOGD.867,867,"LINESTRING (16.230882576107014 48.20908610188918, 16.230929497704377 48.209060460285926)",Hadersdorf,4.50460967,
OEFFGRUENLINGOGD.868,868,"LINESTRING (16.230155838146842 48.20957924927153, 16.230142965703124 48.20955916554263)",Hadersdorf,2.4295254,
OEFFGRUENLINGOGD.869,869,"LINESTRING (16.231013333811656 48.216810352215965, 16.230922092952923 48.21680814913404)",WienerwaldNW,6.78479528,
OEFFGRUENLINGOGD.870,870,"LINESTRING (16.232058973115745 48.216873493182405, 16.232131470745838 48.216878173126375)",WienerwaldNW,5.41257525,
OEFFGRUENLINGOGD.871,871,"LINESTRING (16.231522775111454 48.21549337605885, 16.231510575149112 48.215515432401084)",WienerwaldNW,2.61478208,
OEFFGRUENLINGOGD.872,872,"LINESTRING (16.233048631519768 48.21470045948486, 16.23301783876201 48.21456491652929)",WienerwaldNW,15.24451881,
OEFFGRUENLINGOGD.873,873,"LINESTRING (16.22943035128689 48.21256440266244, 16.229407443177973 48.212528806224704)",WienerwaldNW,4.30878378,
OEFFGRUENLINGOGD.874,874,"LINESTRING (16.230604633929563 48.212907412358895, 16.230627989830516 48.212891846812376)",WienerwaldNW,2.45125637,
OEFFGRUENLINGOGD.875,875,"LINESTRING (16.413922850165562 48.31473133026559, 16.41451186038262 48.314711818010316)",Herrnholz,43.74135756,
OEFFGRUENLINGOGD.876,876,"LINESTRING (16.523054013134917 48.202520798046216, 16.522989315155716 48.202518856415004)",Lobau,4.81408324,
OEFFGRUENLINGOGD.877,877,"LINESTRING (16.48023755907599 48.19641841189899, 16.48033658955311 48.19639519941544)",Mühlwasser,7.80152025,
OEFFGRUENLINGOGD.878,878,"LINESTRING (16.281149815299248 48.21951685845061, 16.281168511662223 48.21946515940493)",WienerwaldNW,5.9142057,
OEFFGRUENLINGOGD.879,879,"LINESTRING (16.27452442896027 48.21520432978019, 16.274550884043897 48.215153616178014)",WienerwaldNW,5.97201631,
OEFFGRUENLINGOGD.880,880,"LINESTRING (16.263430828517645 48.21809829743612, 16.26340128813657 48.218089489756075)",WienerwaldNW,2.40374094,
OEFFGRUENLINGOGD.881,881,"LINESTRING (16.263978162214254 48.21773406261975, 16.263967136645913 48.2177151430856)",WienerwaldNW,2.25768525,
OEFFGRUENLINGOGD.882,882,"LINESTRING (16.207695895326083 48.20282314670019, 16.20754829434164 48.20283837095797)",WienerwGelbMü,11.10147643,
OEFFGRUENLINGOGD.883,883,"LINESTRING (16.251799966661597 48.21349667851692, 16.25177869580319 48.21351963418195)",Satzberg,3.00242111,
OEFFGRUENLINGOGD.884,884,"LINESTRING (16.259123982021745 48.206279729349525, 16.25916882747739 48.20627635273083)",Satzberg,3.35435714,
OEFFGRUENLINGOGD.885,885,"LINESTRING (16.262369345564604 48.211336459526855, 16.262402594623204 48.21132994099508)",Satzberg,2.57520795,
OEFFGRUENLINGOGD.886,886,"LINESTRING (16.263394123850624 48.21276236491445, 16.263466396036268 48.21273691312663)",Satzberg,6.0711738,
OEFFGRUENLINGOGD.887,887,"LINESTRING (16.26425966971461 48.213717000365946, 16.264283686288188 48.21370980913344)",Satzberg,1.95578488,
OEFFGRUENLINGOGD.888,888,"LINESTRING (16.260919382868355 48.21689556308043, 16.26096154853648 48.21690895716725)",Satzberg,3.4693927,
OEFFGRUENLINGOGD.889,889,"LINESTRING (16.26219453439817 48.21640016443593, 16.26219039112025 48.21642262849969)",Satzberg,2.51681018,
OEFFGRUENLINGOGD.890,890,"LINESTRING (16.266677721069705 48.217684007107074, 16.26666647704425 48.21766071342539)",Satzberg,2.72159306,
OEFFGRUENLINGOGD.891,891,"LINESTRING (16.24045955897954 48.13978737288276, 16.240524125093344 48.13979981391749)",WienerwaldS,5.00044796,
OEFFGRUENLINGOGD.892,892,"LINESTRING (16.24273186687488 48.141756190378864, 16.242996112894026 48.14110753921849)",WienerwaldS,74.75916219,
OEFFGRUENLINGOGD.893,893,"LINESTRING (16.23253157170187 48.12893983678413, 16.23259038552871 48.128905763755036)",WienerwZugb,5.78982885,
OEFFGRUENLINGOGD.894,894,"LINESTRING (16.210374304731648 48.20671046851046, 16.210320381993874 48.20672826731406)",WienerwGelbMü,4.46996942,
OEFFGRUENLINGOGD.895,895,"LINESTRING (16.282897879248562 48.24270420336627, 16.28305451736431 48.242801305172314)",WienerwaldNW,15.87263374,
OEFFGRUENLINGOGD.896,896,"LINESTRING (16.281479394303606 48.24244418172692, 16.281453845551262 48.2424030890087)",WienerwaldNW,4.94773128,
OEFFGRUENLINGOGD.897,897,"LINESTRING (16.281054579953686 48.24138653714413, 16.281148873639218 48.24134154822901)",WienerwaldNW,8.6069889,
OEFFGRUENLINGOGD.898,898,"LINESTRING (16.280515516865034 48.25380633220935, 16.280484675072856 48.25378258000672)",WienerwaldNW,3.49587487,
OEFFGRUENLINGOGD.899,899,"LINESTRING (16.281611168208205 48.25324728076096, 16.281610893863668 48.25321522110402)",WienerwaldNW,3.56497355,
OEFFGRUENLINGOGD.900,900,"LINESTRING (16.284170803279256 48.25352945996508, 16.28418086550062 48.25350260119593)",WienerwaldNW,3.07865059,
OEFFGRUENLINGOGD.901,901,"LINESTRING (16.288358864992805 48.23044151593826, 16.288369689152603 48.23040441831807)",WienerwaldNW,4.20275361,
OEFFGRUENLINGOGD.902,902,"LINESTRING (16.19987588471416 48.213562969977225, 16.200582530906082 48.213266187439565)",WienerwBuchbg,62.02446891,
OEFFGRUENLINGOGD.903,903,"LINESTRING (16.202526375597888 48.21312118742299, 16.20252105505164 48.213071573105445)",WienerwBuchbg,5.53104759,
OEFFGRUENLINGOGD.904,904,"LINESTRING (16.1965113176789 48.247655603403985, 16.19644845730969 48.24770618354275)",WienerwaldNW,7.30945926,
OEFFGRUENLINGOGD.905,905,"LINESTRING (16.239726255319976 48.22012013563029, 16.23976377005711 48.22015066285947)",WienerwaldNW,4.39244654,
OEFFGRUENLINGOGD.906,906,"LINESTRING (16.23114841563088 48.21538942481045, 16.23112090337638 48.21541424962563)",WienerwaldNW,3.43513302,
OEFFGRUENLINGOGD.907,907,"LINESTRING (16.233653092984923 48.21531809445056, 16.233641394121456 48.215326871254824)",WienerwaldNW,1.30702793,
OEFFGRUENLINGOGD.908,908,"LINESTRING (16.228743335166847 48.21815672883158, 16.22872400111335 48.218133101932004)",WienerwaldNW,2.9943993,
OEFFGRUENLINGOGD.909,909,"LINESTRING (16.22377673430358 48.21749323501726, 16.22382479534054 48.2174230228401)",WienerwaldNW,8.58542185,
OEFFGRUENLINGOGD.910,910,"LINESTRING (16.219965997488423 48.2162931553724, 16.219900946620054 48.21627626795509)",WienerwaldNW,5.18607166,
OEFFGRUENLINGOGD.911,911,"LINESTRING (16.294123340843228 48.239721701304816, 16.294511233085608 48.23960853497057)",Pötzleinsdor*,31.44059021,
OEFFGRUENLINGOGD.912,912,"LINESTRING (16.27619585348452 48.179880540173485, 16.27628376876999 48.17984317321275)",Roter Berg,7.74653058,
OEFFGRUENLINGOGD.913,913,"LINESTRING (16.276092569238973 48.18055236904566, 16.276295535454235 48.180565799088505)",Roter Berg,15.16733746,
OEFFGRUENLINGOGD.914,914,"LINESTRING (16.276302400590698 48.18072748098684, 16.276396751584382 48.18061837296959)",Roter Berg,14.01505656,
OEFFGRUENLINGOGD.915,915,"LINESTRING (16.268843469702627 48.18062444026771, 16.26881027449782 48.180546985622286)",Roter Berg,8.95935597,
OEFFGRUENLINGOGD.916,916,"LINESTRING (16.26736733790517 48.18092337837666, 16.267350210458012 48.18082855980832)",Roter Berg,10.61999654,
OEFFGRUENLINGOGD.917,917,"LINESTRING (16.274043720835298 48.18271414693728, 16.274036161871994 48.182692973724066)",Roter Berg,2.42052499,
OEFFGRUENLINGOGD.918,918,"LINESTRING (16.397991251548277 48.1573305401549, 16.3980593784532 48.157310062650296)",Laaer Wald,5.55653044,
OEFFGRUENLINGOGD.919,919,"LINESTRING (16.38298744613807 48.157976468139374, 16.38276339178732 48.15801674487091)",Volkspark La*,17.26032584,
OEFFGRUENLINGOGD.920,920,"LINESTRING (16.374462943346547 48.15148324260918, 16.37448292520646 48.151549781603535)",Park Pichelm*,7.5466672,
OEFFGRUENLINGOGD.921,921,"LINESTRING (16.37597981369828 48.1615128771187, 16.375988877649476 48.16155951296696)",Heubergstätt*,5.22930613,
OEFFGRUENLINGOGD.922,922,"LINESTRING (16.344531169410775 48.16174271556809, 16.344639226611417 48.161714024476055)",Wienerbe*,8.64857175,
OEFFGRUENLINGOGD.923,923,"LINESTRING (16.268263587302446 48.20831653538472, 16.268158157912996 48.208301788213085)",Steinhof,8.00579594,
OEFFGRUENLINGOGD.924,924,"LINESTRING (16.297316107372374 48.237868352454406, 16.2973061959984 48.23781379678329)",Pötzleinsdor*,6.11088541,
OEFFGRUENLINGOGD.925,925,"LINESTRING (16.297587175575337 48.2378596904351, 16.29757488018734 48.23779201211224)",Pötzleinsdor*,7.58077848,
OEFFGRUENLINGOGD.926,926,"LINESTRING (16.343681613505517 48.1384652774984, 16.343565410233044 48.13848732230027)",Kolpingstraße,8.98922697,
OEFFGRUENLINGOGD.927,927,"LINESTRING (16.34979819148516 48.13809632493469, 16.349598823784902 48.137734966835204)",Othellogasse,42.83314331,
OEFFGRUENLINGOGD.928,928,"LINESTRING (16.350604036946187 48.13645071746425, 16.35074889585461 48.13641355584941)",Kolpingstraße,11.54642942,
OEFFGRUENLINGOGD.929,929,"LINESTRING (16.374956380780258 48.15136155425297, 16.374998750584037 48.15133901357121)",Park Pichelm*,4.0275437,
OEFFGRUENLINGOGD.930,930,"LINESTRING (16.39449898462747 48.2122712206443, 16.39467677299544 48.212351659473526)",Donaukanal,15.9558588,
OEFFGRUENLINGOGD.931,931,"LINESTRING (16.441033654901595 48.219466123133216, 16.44088512894231 48.219465386319754)",Oberes Mühlw*,11.03712625,
OEFFGRUENLINGOGD.932,932,"LINESTRING (16.44280217710948 48.22218122448826, 16.44279703256173 48.22220345315296)",Oberes Mühlw*,2.50111854,
OEFFGRUENLINGOGD.933,933,"LINESTRING (16.451891520712756 48.18014758481893, 16.45174966269786 48.18009264778702)",Donaukanal,12.19042826,
OEFFGRUENLINGOGD.934,934,"LINESTRING (16.451546415490185 48.21526998072948, 16.451540067897156 48.21524352381079)",Mühlgrund,2.97947379,
OEFFGRUENLINGOGD.935,935,"LINESTRING (16.47591788148673 48.194570899335105, 16.47595165265223 48.19455764183521)",Schillerwass*,2.91151227,
OEFFGRUENLINGOGD.936,936,"LINESTRING (16.476133456929496 48.20455164950551, 16.47602969752385 48.20455711334019)",Mühlwasser,7.73639885,
OEFFGRUENLINGOGD.937,937,"LINESTRING (16.478902751978904 48.203218301603805, 16.478882002863013 48.203166363846854)",Mühlwasser,5.97764487,
OEFFGRUENLINGOGD.938,938,"LINESTRING (16.484007995968575 48.20248545233268, 16.48399581260068 48.202440449906604)",Mühlwasser,5.08535639,
OEFFGRUENLINGOGD.939,939,"LINESTRING (16.187384592091135 48.224524209537904, 16.18739928976152 48.22452950392618)",WienerwBuchbg,1.24063927,
OEFFGRUENLINGOGD.940,940,"LINESTRING (16.27298849884658 48.23898033103448, 16.273002580452598 48.238948645169366)",WienerwaldNW,3.675329,
OEFFGRUENLINGOGD.941,941,"LINESTRING (16.274812360976647 48.23959828597197, 16.274714954717034 48.239856426768476)",WienerwaldNW,29.60207449,
OEFFGRUENLINGOGD.942,942,"LINESTRING (16.29396717392639 48.24468889920782, 16.294024280442713 48.24472600772103)",Pötzleinsdor*,5.91746277,
OEFFGRUENLINGOGD.943,943,"LINESTRING (16.374834116084198 48.23809988536751, 16.3748274546007 48.23811897463377)",Park Ungerbau,2.17956385,
OEFFGRUENLINGOGD.944,944,"LINESTRING (16.377087696789836 48.231358178810225, 16.377041198530588 48.23144180552528)",Wallensteins*,9.91985467,
OEFFGRUENLINGOGD.945,945,"LINESTRING (16.377249861018967 48.23125703251851, 16.377262804649874 48.23123368438378)",Wallensteins*,2.7685786,
OEFFGRUENLINGOGD.946,946,"LINESTRING (16.37969976715473 48.237559594787875, 16.379644237963753 48.237531649914594)",Winar-skystr,5.16431871,
OEFFGRUENLINGOGD.947,947,"LINESTRING (16.37905490424599 48.2381503923887, 16.37894723759508 48.23809583891052)",Winar-skystr,10.03797872,
OEFFGRUENLINGOGD.948,948,"LINESTRING (16.378688463568803 48.23847563050336, 16.37876802128999 48.23840390504604)",Winarskystra*,9.92643673,
OEFFGRUENLINGOGD.949,949,"LINESTRING (16.377699082341643 48.239426117199415, 16.377578555588595 48.23954357417366)",Winarskystra*,15.83459949,
OEFFGRUENLINGOGD.950,950,"LINESTRING (16.382787904127117 48.24045119356698, 16.382835153335645 48.240505902922635)",Durchlaufstr*,7.0232373,
OEFFGRUENLINGOGD.951,951,"LINESTRING (16.382077566878657 48.23918511284662, 16.38209312850856 48.23919298549621)",Durch_laufstr,1.45000013,
OEFFGRUENLINGOGD.952,952,"LINESTRING (16.259216355376388 48.181400263985694, 16.259226966815874 48.181427176094964)",St. VeiterTor,3.09478453,
OEFFGRUENLINGOGD.953,953,"LINESTRING (16.271059069397683 48.177664272733644, 16.271066408537692 48.17761737451174)",Wlassakstraße,5.24332605,
OEFFGRUENLINGOGD.954,954,"LINESTRING (16.268744199228774 48.17748586760817, 16.268758078786867 48.17739833926682)",Wlassakstraße,9.78728413,
OEFFGRUENLINGOGD.955,955,"LINESTRING (16.266632321153374 48.17725942935934, 16.26652690088048 48.17723665415365)",Wlassakstraße,8.23898555,
OEFFGRUENLINGOGD.956,956,"LINESTRING (16.262089797772042 48.175870635671366, 16.262096130058435 48.175857124721055)",Wlassakstraße,1.57443263,
OEFFGRUENLINGOGD.957,957,"LINESTRING (16.26449841948093 48.177023185439396, 16.264581996813913 48.17685699582961)",Wlassakstraße,19.49676951,
