FID,OBJECTID,SHAPE,TEXT13ID,LAENGE,SE_ANNO_CAD_DATA
OEFFGRUENLINGOGD.38,38,"LINESTRING (16.319199463267793 48.19101969322513, 16.319271626308797 48.19112958364778)",Gustav-Jäger*,13.34531347,
OEFFGRUENLINGOGD.39,39,"LINESTRING (16.320101681375863 48.190237568714664, 16.320108414862947 48.19010127761976)",Gustav-Jäger*,15.16316363,
OEFFGRUENLINGOGD.40,40,"LINESTRING (16.32023142560285 48.19070297960607, 16.320311149713557 48.19082438082484)",Gustav-Jäger*,14.74328532,
OEFFGRUENLINGOGD.41,41,"LINESTRING (16.360554688269694 48.21546288460753, 16.360377997981974 48.21553674792482)",Sigmund-Freu*,15.48783044,
OEFFGRUENLINGOGD.42,42,"LINESTRING (16.359519002730327 48.214984623771855, 16.359765083032393 48.21488186412323)",Votivpark,21.56383574,
OEFFGRUENLINGOGD.43,43,"LINESTRING (16.36395896492281 48.20986087995767, 16.363924606832924 48.20991561535627)",Minoritenpla*,6.60031869,
OEFFGRUENLINGOGD.44,44,"LINESTRING (16.36433567334496 48.20945911584034, 16.364416873653475 48.20949537969932)",Minoritenpla*,7.25825917,
OEFFGRUENLINGOGD.45,45,"LINESTRING (16.362034948267347 48.209595717478074, 16.362120983208555 48.209630129270906)",Volksgarten,7.45183907,
OEFFGRUENLINGOGD.46,46,"LINESTRING (16.36314260745768 48.208334306485135, 16.363261333614258 48.20841387615592)",Volksgarten,12.4960794,
OEFFGRUENLINGOGD.47,47,"LINESTRING (16.3036013699507 48.19644046934232, 16.303766362886908 48.19645428977496)",Matzner-Park,12.36184752,
OEFFGRUENLINGOGD.48,48,"LINESTRING (16.303753524971903 48.196013417212015, 16.303847504780325 48.19602128924146)",Matzner-Park,7.04135272,
OEFFGRUENLINGOGD.49,49,"LINESTRING (16.3801394846879 48.24595457350113, 16.380197481689162 48.24589472363197)",Friedrich-En*,7.92744564,
OEFFGRUENLINGOGD.50,50,"LINESTRING (16.380558537015723 48.24437613223648, 16.380523336453443 48.244378480470566)",Friedrich-En*,2.62745605,
OEFFGRUENLINGOGD.51,51,"LINESTRING (16.38232421518849 48.245044627661876, 16.382363074732773 48.245008454281034)",Friedrich-En*,4.95068019,
OEFFGRUENLINGOGD.52,52,"LINESTRING (16.355577733283813 48.207573756528966, 16.35560076681591 48.2076548827711)",Schmerlingpl*,9.1818804,
OEFFGRUENLINGOGD.53,53,"LINESTRING (16.355838875123602 48.207049130787844, 16.355887958634362 48.20697693588098)",Schmerlingpl*,8.81783467,
OEFFGRUENLINGOGD.54,54,"LINESTRING (16.355757990501633 48.207052371433136, 16.3556040448035 48.207023594364315)",Schmerlingpl*,11.88132358,
OEFFGRUENLINGOGD.55,55,"LINESTRING (16.377303822980362 48.23746863971804, 16.377401383052074 48.23752957630457)",Park Leithas*,9.92131703,
OEFFGRUENLINGOGD.56,56,"LINESTRING (16.374671329269876 48.24387619779614, 16.374725937552824 48.243816487599474)",Forsthauspark,7.78038063,
OEFFGRUENLINGOGD.57,57,"LINESTRING (16.346443105298103 48.204431705277436, 16.346439979683012 48.20429004224217)",Karl-Farkas-*,15.75398195,
OEFFGRUENLINGOGD.58,58,"LINESTRING (16.37955667678855 48.20211236487313, 16.37944260411449 48.201996257377985)",Stadtpark,15.44622057,
OEFFGRUENLINGOGD.59,59,"LINESTRING (16.35561884915103 48.187504620094856, 16.355678891532886 48.18744350909431)",Bacherpark,8.13060497,
OEFFGRUENLINGOGD.60,60,"LINESTRING (16.357935230365875 48.22335534393447, 16.357828110237673 48.22333043345422)",Liechtenstei*,8.42759793,
OEFFGRUENLINGOGD.61,61,"LINESTRING (16.369834486835643 48.219978655645455, 16.36993438381487 48.22003716361725)",Donaukanal,9.87062485,
OEFFGRUENLINGOGD.62,62,"LINESTRING (16.38510365833305 48.217696718172306, 16.38512422789002 48.21773411105736)",Odeonpark,4.42999097,
OEFFGRUENLINGOGD.63,63,"LINESTRING (16.399391793211787 48.220580673013636, 16.39934989550683 48.22057075864838)",Max-Winter-P*,3.30273504,
OEFFGRUENLINGOGD.64,64,"LINESTRING (16.384956389847687 48.213339800736954, 16.384935142945825 48.21340024746664)",Veza-Canetti*,6.904391,
OEFFGRUENLINGOGD.65,65,"LINESTRING (16.36818732896708 48.2169467130937, 16.368300920805943 48.21683547542527)",Deutschmeist*,14.97502673,
OEFFGRUENLINGOGD.66,66,"LINESTRING (16.367516202303474 48.21426545783426, 16.367588569317533 48.214196743695375)",Hermann-Gmei*,9.34366072,
OEFFGRUENLINGOGD.67,67,"LINESTRING (16.367235200027185 48.21456663463034, 16.367175869131643 48.21462570703687)",Hermann-Gmei*,7.91124035,
OEFFGRUENLINGOGD.68,68,"LINESTRING (16.372580483051767 48.214100471729296, 16.3726684654126 48.21415827880378)",Rudolfspark,9.16899783,
OEFFGRUENLINGOGD.69,69,"LINESTRING (16.371901219659232 48.214589153929936, 16.371969090843074 48.21463374694908)",Rudolfspark,7.07306577,
OEFFGRUENLINGOGD.70,70,"LINESTRING (16.377724687390206 48.21366846205564, 16.377690363251816 48.21367377506551)",Manes-Sperbe*,2.61839909,
OEFFGRUENLINGOGD.71,71,"LINESTRING (16.341972636039593 48.20749045835148, 16.342060402658912 48.2074754441834)",Josef-Strauß*,6.73361814,
OEFFGRUENLINGOGD.72,72,"LINESTRING (16.344834619167315 48.21140584980221, 16.344745903202128 48.21143540001485)",Hamerlingpark,7.36682295,
OEFFGRUENLINGOGD.73,73,"LINESTRING (16.356620736716142 48.205624185171274, 16.356634504016643 48.205513710469575)",Weghuberpark,12.32682293,
OEFFGRUENLINGOGD.74,74,"LINESTRING (16.356440879797205 48.20596695452538, 16.35667210150122 48.20610326788819)",Weghuberpark,22.91544626,
OEFFGRUENLINGOGD.75,75,"LINESTRING (16.366379758724822 48.200631066251056, 16.366479513674914 48.20055855568792)",Park Secessi*,10.95434224,
OEFFGRUENLINGOGD.76,76,"LINESTRING (16.365760143324007 48.20081535098766, 16.365776116079626 48.200849075813096)",Park Secessi*,3.93352375,
OEFFGRUENLINGOGD.77,77,"LINESTRING (16.36577350023558 48.20025952707834, 16.365874161620866 48.20018635760061)",Park Secessi*,11.05391959,
OEFFGRUENLINGOGD.78,78,"LINESTRING (16.36462175685549 48.200900842791334, 16.364563227771352 48.20086668050693)",Park Secessi*,5.77577358,
OEFFGRUENLINGOGD.79,79,"LINESTRING (16.367022591775957 48.200447883474794, 16.366899484026998 48.20044116628536)",Esperantopark,9.1818316,
OEFFGRUENLINGOGD.80,80,"LINESTRING (16.377389620428428 48.20210942962759, 16.377477689890025 48.20219559132611)",Beethovenpark,11.60382353,
OEFFGRUENLINGOGD.81,81,"LINESTRING (16.38977364970146 48.200009303309926, 16.389828964951604 48.20001415355615)",Sebastianpla*,4.14719609,
OEFFGRUENLINGOGD.82,82,"LINESTRING (16.392916840429027 48.19916089738179, 16.393026298577805 48.19917836462342)",Arenbergpark,8.36553842,
OEFFGRUENLINGOGD.83,83,"LINESTRING (16.393251242810035 48.1992711786729, 16.393208175065116 48.199337946659526)",Arenbergpark,8.08517718,
OEFFGRUENLINGOGD.84,84,"LINESTRING (16.39303272170123 48.19921820487566, 16.393012024415807 48.1992145567019)",Arenbergpark,1.59117979,
OEFFGRUENLINGOGD.85,85,"LINESTRING (16.36708867908295 48.2001227294752, 16.366999175468777 48.20020250880723)",Rosa-Mayrede*,11.08892094,
OEFFGRUENLINGOGD.86,86,"LINESTRING (16.36858287299156 48.20068908336155, 16.368561206892192 48.20078742551353)",Rosa-Mayrede*,11.05315164,
OEFFGRUENLINGOGD.87,87,"LINESTRING (16.368048148739486 48.199627436291614, 16.368008844997266 48.19957661950896)",Rosa-Mayrede*,6.36126871,
OEFFGRUENLINGOGD.88,88,"LINESTRING (16.36899629073811 48.199371214197, 16.368972449536074 48.19933323738494)",Rosa-Mayrede*,4.57967982,
OEFFGRUENLINGOGD.89,89,"LINESTRING (16.369269428282763 48.19929247305907, 16.36924601687051 48.19925578939991)",Rosa-Mayrede*,4.43480529,
OEFFGRUENLINGOGD.90,90,"LINESTRING (16.37124004237222 48.19839788168025, 16.37116581770415 48.19848601967461)",Rosa-Mayrede*,11.24707079,
