FID,OBJECTID,SHAPE,BEZEICHNUNG,BETREIBER,ADRESSE,WEBLINK1,TYP_TXT,TXTATT1,KONTAKT,PLZ,KINDERGRUPPE,FAMILIE_0_6,FAMILIE_3_10,HEILPAED_HORT_6_10,HEILPAED_KDG_3_6,HORT_6_10,INTEGRAT_FAMILIE_0_6,INTEGRAT_FAMILIE_3_10,INTEGRAT_HORT_6_10,INTEGRAT_KDG_3_6,INTEGRAT_KLEINKINDER_0_3,KDG_3_6,HALBTAGS_KDG_3_6,KLEINKINDER_0_3,STRASSE,ONR,STG,MA11_OBJEKT_ID,FAMILIE_2_6,INTEGRAT_FAMILIE_2_6,SE_ANNO_CAD_DATA
KINDERGARTENOGD.7281262,7281262,POINT (16.395755276082607 48.205700123738914),Schatzinsel,"Verein Kindergruppe ""Schatzinsel""","3., Rasumofskygasse 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,0677 63749762,1030,14,,,,,,,,,,,,,,Rasumofskygasse,1,,2000618,,,
KINDERGARTENOGD.7281263,7281263,POINT (16.328059499027106 48.195583082019404),KINDERGRUPPE HAPPY KIDS BILINGUAL,Happy Kids bilingual Kindergruppe,"15., Felberstraße 58",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1150,14,,,,,,,,,,,,,,Felberstraße,58,,2000619,,,
KINDERGARTENOGD.7281264,7281264,POINT (16.400566372958636 48.2214838637106),Dorainsel 3,Dorainsel - Verein für frühkindliche Mehrsprachigkeit an Kindertageseinrichtungen,"2., Ennsgasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1020,14,,,,,,,,,,,,,,Ennsgasse,3,,2000623,,,
KINDERGARTENOGD.7281265,7281265,POINT (16.384648872862588 48.19010018582799),Kreative Welt 2,Kindergruppe Kreative Welt,"3., Jacquingasse 47",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1030,14,,,,,,,,,,,,,,Jacquingasse,47,,2000624,,,
KINDERGARTENOGD.7281266,7281266,POINT (16.384648872862588 48.19010018582799),Kreative Welt 3,Kindergruppe Kreative Welt,"3., Jacquingasse 47",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1030,14,,,,,,,,,,,,,,Jacquingasse,47,,2000625,,,
KINDERGARTENOGD.7281267,7281267,POINT (16.364082126314795 48.23230965985408),InterDialog 4,InterDialog - Verein für interkulturelle Verständigung und Bildung,"20., Treustraße 66",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1200,14,,,,,,,,,,,,,,Treustraße,66,,2000626,,,
KINDERGARTENOGD.7281268,7281268,POINT (16.364082126314795 48.23230965985408),InterDialog 3,InterDialog - Verein für interkulturelle Verständigung und Bildung,"20., Treustraße 66",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1200,14,,,,,,,,,,,,,,Treustraße,66,,2000627,,,
KINDERGARTENOGD.7281269,7281269,POINT (16.34154232036403 48.20574355368459),Kids Gallery,International bilingual Kindergruppe-Kids Gallery Vienna,"7., Halbgasse 32",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1070,14,,,,,,,,,,,,,,Halbgasse,32,,2000629,,,
KINDERGARTENOGD.7281270,7281270,POINT (16.31136383230142 48.12989563962954),ZAUBERWALD,"Kindergruppe ""Zauberwald""","23., Basler Gasse 68-84/32",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1230,14,,,,,,,,,,,,,,Basler Gasse,68-84,32,2000630,,,
KINDERGARTENOGD.7281271,7281271,POINT (16.353658346158422 48.1924029156815),INTERNATIONALE PRIVATKINDERGRUPPE - MARIAHILF,Verein Internationale Privatkindergruppe Mariahilf,"6., Linke Wienzeile 110",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1060,14,,,,,,,,,,,,,,Linke Wienzeile,110,,2000631,,,
KINDERGARTENOGD.7281272,7281272,POINT (16.283540461681127 48.18719581621503),KINDERGRUPPE IM FAMILIENHAUS,Das Familienhaus - Beratung und Betreuung auf pädagogischem Niveau,"13., Hietzinger Hauptstraße 71",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1130,13,,,,,,,,,,,,,,Hietzinger Hauptstraße,71,,2000632,,,
KINDERGARTENOGD.7281273,7281273,POINT (16.34516229485708 48.21321638246431),NEJLA 1,Kindergruppe und Kindergarten Nejla,"8., Laudongasse 40",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1080,12,,,,,,,,,,,,,,Laudongasse,40,,2000633,,,
KINDERGARTENOGD.7281274,7281274,POINT (16.318742515717428 48.21864344518966),KINDERGRUPPE WICHTELSTUBE,Verein für musikalische - reformpädagogische Kinderbetreuung,"16., Effingergasse 10",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1160,13,,,,,,,,,,,,,,Effingergasse,10,,2000641,,,
KINDERGARTENOGD.7281275,7281275,POINT (16.323804660051408 48.191621112920224),MOND,Verein Kindergruppe  Spiel & Spaß,"15., Jurekgasse 34",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1150,14,,,,,,,,,,,,,,Jurekgasse,34,,2000642,,,
KINDERGARTENOGD.7281276,7281276,POINT (16.344998539800443 48.21321999259237),NEJLA 2,Kindergruppe und Kindergarten Nejla,"8., Laudongasse 40",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1080,13,,,,,,,,,,,,,,Laudongasse,40,,2000645,,,
KINDERGARTENOGD.7281277,7281277,POINT (16.339162865175755 48.223031927722275),GIRASOLE,Verein Wiener Kindergruppen,"18., Kreuzgasse (Hernals und Währing) 32/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1180,14,,,,,,,,,,,,,,Kreuzgasse (Hernals und Währing),32,1,2000647,,,
KINDERGARTENOGD.7281278,7281278,POINT (16.40320249323685 48.19400171968799),Amina 2,Kindergruppe Kinderlachen Wien,"3., Baumgasse 57-61",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,0664-2263138,1030,14,,,,,,,,,,,,,,Baumgasse,57-61,,2000648,,,
KINDERGARTENOGD.7281279,7281279,POINT (16.538837334949037 48.21186879311206),Smiley Kids I,Verein Kindergruppe Smiley Kids,"22., Ibachstraße 24",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Ibachstraße,24,,2000649,,,
