FID,OBJECTID,SHAPE,BEZEICHNUNG,BETREIBER,ADRESSE,WEBLINK1,TYP_TXT,TXTATT1,KONTAKT,PLZ,KINDERGRUPPE,FAMILIE_0_6,FAMILIE_3_10,HEILPAED_HORT_6_10,HEILPAED_KDG_3_6,HORT_6_10,INTEGRAT_FAMILIE_0_6,INTEGRAT_FAMILIE_3_10,INTEGRAT_HORT_6_10,INTEGRAT_KDG_3_6,INTEGRAT_KLEINKINDER_0_3,KDG_3_6,HALBTAGS_KDG_3_6,KLEINKINDER_0_3,STRASSE,ONR,STG,MA11_OBJEKT_ID,FAMILIE_2_6,INTEGRAT_FAMILIE_2_6,SE_ANNO_CAD_DATA
KINDERGARTENOGD.7283650,7283650,POINT (16.340789457954635 48.19270157143778),Kindergarten,Stadt Wien - Kindergärten,"6., Mittelgasse 25",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Integrationsfamiliengruppe 2-6 Jahre",Öffentlich,,1060,,18,,,,,,,,40,,25,,15,Mittelgasse,25,,1000458,,20,
KINDERGARTENOGD.7283651,7283651,POINT (16.356549082336695 48.19883976690391),Kindergarten,Stadt Wien - Kindergärten,"6., Stiegengasse 15",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,,1060,,,,,,,,,,,,25,,15,Stiegengasse,15,,1000459,,,
KINDERGARTENOGD.7283652,7283652,POINT (16.345775252523417 48.199271687031484),Kindergarten,Stadt Wien - Kindergärten,"7., Lindengasse 57",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,,1070,,,,,,,,,,40,,22,,30,Lindengasse,57,,1000461,,,
KINDERGARTENOGD.7283653,7283653,POINT (16.354457305243944 48.20446266154405),Kindergarten,Stadt Wien - Kindergärten,"7., Faßziehergasse 3",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,Kindergarten 3-6 Jahre,Öffentlich,,1070,,,,,,,,,,,,43,,,Faßziehergasse,3,,1000462,,,
KINDERGARTENOGD.7283654,7283654,POINT (16.34132623193598 48.21077434699085),Kindergarten,Stadt Wien - Kindergärten,"8., Josefstädter Straße 93-97/Haus II",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 2-6 Jahre",Öffentlich,,1080,,22,,,,,,,,,,100,,45,Josefstädter Straße,93-97/Haus II,,1000463,21,,
KINDERGARTENOGD.7283655,7283655,POINT (16.362907904365404 48.224247315352436),Kindergarten,Stadt Wien - Kindergärten,"9., Glasergasse 8",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,,1090,,20,,,,16,,,,,,25,,,Glasergasse,8,,1000467,,,
KINDERGARTENOGD.7283656,7283656,POINT (16.362374874125262 48.22122232139991),Kindergarten,Stadt Wien - Kindergärten,"9., Grünentorgasse 11",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,Hortgruppe 6-10 Jahre,Öffentlich,,1090,,,,,,63,,,,,,,,,Grünentorgasse,11,,1000468,,,
KINDERGARTENOGD.7283657,7283657,POINT (16.362297584562246 48.22824787864732),Kindergarten,Stadt Wien - Kindergärten,"9., Gussenbauergasse 5-7",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,Integrationskindergarten 3-6 Jahre,Öffentlich,,1090,,,,,,,,,,40,,,,,Gussenbauergasse,5-7,,1000469,,,
KINDERGARTENOGD.7283658,7283658,POINT (16.350159329863416 48.21859433009845),Kindergarten,Stadt Wien - Kindergärten,"9., Lazarettgasse 6-8",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 177,1090,,,,,,,,,,,,19,,13,Lazarettgasse,6-8,,1000471,,,
KINDERGARTENOGD.7283659,7283659,POINT (16.357483894671887 48.22795030430142),Kindergarten,Stadt Wien - Kindergärten,"9., Marktgasse 44-46",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,,1090,,,,,,,,,,20,,25,,30,Marktgasse,44-46,,1000472,,,
KINDERGARTENOGD.7283660,7283660,POINT (16.35336411550322 48.22970511133447),Kindergarten,Stadt Wien - Kindergärten,"9., Sobieskigasse 31",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Heilpädagogischer Kindergarten 3-6 Jahre,<br>Heilpädagogischer Hort 6-10 Jahre",Öffentlich,,1090,,,,48,24,,,,,,,,,,Sobieskigasse,31,,1000474,,,
KINDERGARTENOGD.7283661,7283661,POINT (16.343750548134988 48.218759692600216),Kindergarten,Stadt Wien - Kindergärten,"9., Währinger Gürtel 16/AKH",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,,1090,,,,,,71,,,,20,,42,,30,Währinger Gürtel,16,AKH,1000475,,,
KINDERGARTENOGD.7283662,7283662,POINT (16.413379543210997 48.17201761041789),Kindergarten,Stadt Wien - Kindergärten,"11., Lorystraße 46",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,,1110,,,,,,,,,,,,25,,15,Lorystraße,46,,1000478,,,
KINDERGARTENOGD.7283663,7283663,POINT (16.41244345212667 48.17243192507372),Kindergarten,Stadt Wien - Kindergärten,"11., Lorystraße 40-42",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,,1110,,,,,,,,,,,,25,,15,Lorystraße,40-42,,1000479,,,
KINDERGARTENOGD.7283664,7283664,POINT (16.433994182856452 48.163953213604096),Kindergarten,Stadt Wien - Kindergärten,"11., Kaiser-Ebersdorfer Straße 92",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,,1110,,,,,,,,,,40,,25,,15,Kaiser-Ebersdorfer Straße,92,,1000480,,,
KINDERGARTENOGD.7283665,7283665,POINT (16.420915506223224 48.16742996935838),Kindergarten,Stadt Wien - Kindergärten,"11., Hasenleitengasse 9/Haus 2",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre,<br>Integrationsfamiliengruppe 3-10 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,,1110,,,,,,,,20,40,18,,75,,,Hasenleitengasse,9/Haus 2,,1000481,,,
KINDERGARTENOGD.7283666,7283666,POINT (16.420915506223224 48.16742996935838),Kindergarten,Stadt Wien - Kindergärten,"11., Hasenleitengasse 9/Haus 1",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Integrationskindergarten 3-6 Jahre,<br>Heilpädagogischer Kindergarten 3-6 Jahre,<br>Integrationsfamiliengruppe 0-6 Jahre",Öffentlich,,1110,,,,,12,,18,,,60,,,,30,Hasenleitengasse,9/Haus 1,,1000482,,,
KINDERGARTENOGD.7283667,7283667,POINT (16.47110665158714 48.15550169109739),Kindergarten,Stadt Wien - Kindergärten,"11., Hoefftgasse 7",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Integrationshort 6-10 Jahre,<br>Heilpädagogischer Hort 6-10 Jahre",Öffentlich,,1110,,,,10,,,,,40,,,,,,Hoefftgasse,7,,1000483,,,
KINDERGARTENOGD.7283668,7283668,POINT (16.40135199519205 48.17381310650962),Kindergarten,Stadt Wien - Kindergärten,"11., Geiselbergstraße 26-32",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,,1110,,20,,,,,,,20,20,,25,,15,Geiselbergstraße,26-32,,1000484,,,
KINDERGARTENOGD.7283669,7283669,POINT (16.472619317266165 48.15704431655149),Kindergarten,Stadt Wien - Kindergärten,"11., Dreherstraße 8",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,,1110,,,,,,,,,,20,,75,,30,Dreherstraße,8,,1000486,,,
KINDERGARTENOGD.7283670,7283670,POINT (16.41146855444362 48.18251721261919),Kindergarten,Stadt Wien - Kindergärten,"11., Dopplergasse 2a",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre",Öffentlich,,1110,,,24,,,,,,,,,25,,15,Dopplergasse,2a,,1000487,,,
KINDERGARTENOGD.7283671,7283671,POINT (16.415864558705668 48.17747183494935),Kindergarten,Stadt Wien - Kindergärten,"11., Delsenbachgasse 12",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre",Öffentlich,,1110,,,24,,,,,,,,,50,,30,Delsenbachgasse,12,,1000488,,,
KINDERGARTENOGD.7283672,7283672,POINT (16.410642111546498 48.180512173931604),Kindergarten,Stadt Wien - Kindergärten,"11., Rinnböckstraße 47",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,,1110,,,,,,,,,,40,,24,,15,Rinnböckstraße,47,,1000489,,,
KINDERGARTENOGD.7283673,7283673,POINT (16.407992208657358 48.18117603361631),Kindergarten,Stadt Wien - Kindergärten,"11., Simmeringer Hauptstraße 30-32",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,,1110,,,,,,,,,,20,,25,,15,Simmeringer Hauptstraße,30-32,,1000490,,,
KINDERGARTENOGD.7283674,7283674,POINT (16.40927514834412 48.17952370842232),Kindergarten,Stadt Wien - Kindergärten,"11., Simmeringer Hauptstraße 34-40",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,,1110,,,,,,,,,,,,50,,30,Simmeringer Hauptstraße,34-40,,1000491,,,
KINDERGARTENOGD.7283675,7283675,POINT (16.41305233656169 48.17491958637542),Kindergarten,Stadt Wien - Kindergärten,"11., Sedlitzkygasse 26",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre,<br>Familiengruppe 2-6 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,,1110,,,,,,,,,20,20,,50,25,,Sedlitzkygasse,26,,1000492,20,,
KINDERGARTENOGD.7283676,7283676,POINT (16.426500865343844 48.16064606079787),Kindergarten,Stadt Wien - Kindergärten,"11., Wilhelm-Kreß-Platz 33",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,,1110,,,,,,,,,,20,,67,,30,Wilhelm-Kreß-Platz,33,,1000493,,,
KINDERGARTENOGD.7283594,7283594,POINT (16.370484670948045 48.196739494766035),Privatkdg. TU Krabbelstube,Verein Wiener Kindergruppen,"4., Gußhausstraße 25",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kleinkindergruppe 0-3 Jahre,Privat,,1040,,,,,,,,,,,,,,14,Gußhausstraße,25,,1000365,,,
KINDERGARTENOGD.7283595,7283595,POINT (16.367879340952676 48.193370854097154),Evangelischer Montessori Kindergarten Wieden,Diakonie Bildung gemeinnützige GmbH,"4., Schlüsselgasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,1040,,,,,,,,,,,,50,,15,Schlüsselgasse,3,,1000367,,,
KINDERGARTENOGD.7283596,7283596,POINT (16.374446473131737 48.19651952539097),Kindergartengruppe Kinder auf der  Wieden,St. Nikolausstiftung Erzdiözese Wien,"4., Wohllebengasse 7",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,1040,,20,,,,,,,,,,,,,Wohllebengasse,7,,1000368,,,
KINDERGARTENOGD.7283597,7283597,POINT (16.345933334025744 48.18748356643055),Wichtelmännchen,Kindergartenverein Wichtelmännchen,"5., Mauthausgasse 5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,1050,,20,,,,,,,,,,25,,,Mauthausgasse,5,,1000369,,,
KINDERGARTENOGD.7283598,7283598,POINT (16.354653098194742 48.19009753113462),Privatkindergarten Mozart,Kindergarten Mozart,"5., Schönbrunner Straße 75/2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre",Privat,,1050,,19,24,,,,,,,,,24,,,Schönbrunner Straße,75,2,1000370,,,
KINDERGARTENOGD.7283599,7283599,POINT (16.358059373193655 48.19328843740393),Kinderbetreuungsverein Wiener Kinderstube,Kinderbetreuungsverein Wiener Kinderstube,"5., Schönbrunner Straße 26",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre",Privat,,1050,,,24,,,,,,,,,25,,15,Schönbrunner Straße,26,,1000371,,,
KINDERGARTENOGD.7283600,7283600,POINT (16.357130370638075 48.197603277658615),Pädagogischer Verein Montessori Joanelligasse,Verein Wiener Kindergruppen,"6., Joanelligasse 6/1-6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,1060,,17,,,,,,,,,,21,,48,Joanelligasse,6,1-6,1000374,,,
KINDERGARTENOGD.7283601,7283601,POINT (16.352970588684038 48.19471175326972),Privatkindergarten,Verein Wiener Kindergruppen,"6., Magdalenenstraße 25",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,1060,,,,,,,,,,,,25,,15,Magdalenenstraße,25,,1000375,,,
KINDERGARTENOGD.7283602,7283602,POINT (16.354052261081076 48.206489339088726),Lannerhaus,Kindergarten Lannerhaus,"7., Mechitaristengasse 8",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,1070,,20,,,,,,,,,,,,,Mechitaristengasse,8,,1000378,,,
KINDERGARTENOGD.7283603,7283603,POINT (16.349659398108447 48.199292966496614),Privatkdg. Villa Kunterbunt,Vindobini,"7., Neubaugasse 12-14",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre",Privat,,1070,,,,,,,,,,,,50,25,30,Neubaugasse,12-14,,1000382,,,
KINDERGARTENOGD.7283604,7283604,POINT (16.350078628860654 48.198546391274334),Privatkindergarten Trommelklecks,Gemeinnütziger Kinderbetreuungsverein Trommelklecks,"7., Neubaugasse 2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,1070,,,,,,,,,,,,25,,15,Neubaugasse,2,,1000383,,,
KINDERGARTENOGD.7283605,7283605,POINT (16.348442763230274 48.21365961878388),Privatkindergarten,Castellino Kindergarten- und Hortbetriebsverein zur Unterstützung berufstätiger Eltern,"8., Lederergasse 26",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,1080,,35,,,,16,,,,,,,,,Lederergasse,26,,1000388,,,
KINDERGARTENOGD.7283606,7283606,POINT (16.350851374252287 48.20766790212193),Kinderkrippe Zwerglgarten,"Zwerglgarten, Verein zur Förderung studierender und flexibel berufstätiger Eltern","8., Piaristengasse 15",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kleinkindergruppe 0-3 Jahre,Privat,+43 1 403 85 91,1080,,,,,,,,,,,,,,15,Piaristengasse,15,,1000389,,,
KINDERGARTENOGD.7283607,7283607,POINT (16.362527604598746 48.22562884145016),Privatkindergarten Luna,Vindobini,"9., Julius-Tandler-Platz 6/2. Stock",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,1090,,,,,,,,,,,,24,,13,Julius-Tandler-Platz,6,2. Stock,1000392,,,
KINDERGARTENOGD.7283608,7283608,POINT (16.361067299768987 48.21870326988962),Privatkindergarten,Spielkiste - Verein zur Unterstützung und Kinderbetreuung studierender Eltern,"9., Liechtensteinstraße 23/3. Stock",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kleinkindergruppe 0-3 Jahre,Privat,,1090,,,,,,,,,,,,,,15,Liechtensteinstraße,23,3. Stock,1000393,,,
KINDERGARTENOGD.7283609,7283609,POINT (16.357491904046334 48.22360238484121),Kinderwelt von A bis Z,Kinderwelt von A - Z,"9., Liechtensteinstraße 61",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,1090,,20,,,,,,,,,,25,,15,Liechtensteinstraße,61,,1000394,,,
KINDERGARTENOGD.7283610,7283610,POINT (16.361753446164588 48.222940064724895),Kindergarten Alsergrund,Vindobini,"9., Seegasse 2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,1090,,20,,,,,,,,,,,,13,Seegasse,2,,1000398,,,
KINDERGARTENOGD.7283611,7283611,POINT (16.353732268158375 48.22507853088165),Privatkindergarten,Kindergarten Sonnenschein Angeligasse,"9., Sechsschimmelgasse 5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 2-6 Jahre",Privat,,1090,,,,,,,,,,,,25,,,Sechsschimmelgasse,5,,1000399,13,,
KINDERGARTENOGD.7283612,7283612,POINT (16.351350792703194 48.21624120666694),Privatkindergarten,StudentInnenkinder - Verein zur Förderung von Kindern studierender Eltern,"9., Spitalgasse 2/Hof 4",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,1090,,20,,,,25,,,,,,25,,,Spitalgasse,2/Hof 4,,1000400,,,
KINDERGARTENOGD.7283613,7283613,POINT (16.393525110568536 48.2534723004406),Florido Tower,Kinder in Wien,"21., Floridsdorfer Hauptstraße 1-7",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,1210,,80,,,,,,,,,,,,,Floridsdorfer Hauptstraße,1-7,,1000402,,,
KINDERGARTENOGD.7283614,7283614,POINT (16.336128290285462 48.2183673989177),Kindergarten,Therapie Institut Keil GmbH,"17., Bergsteiggasse 36-38",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Integrationsfamiliengruppe 0-6 Jahre,Privat,,1170,,,,,,,40,,,,,,,,Bergsteiggasse,36-38,,1000404,,,
KINDERGARTENOGD.7283615,7283615,POINT (16.293992903360046 48.23175302628942),Sonnenkindergarten,Verein Wiener Kindergruppen,"17., Dornbacher Straße 86",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 2-6 Jahre",Privat,,1170,,,,,,,,,,,,25,,,Dornbacher Straße,86,,1000405,14,,
KINDERGARTENOGD.7283616,7283616,POINT (16.325245694838973 48.219130500459315),Bärli-Brumm-Brumm,MULTIKULTURELLE KINDERGRUPPE BÄRLI - BRUMM-BRUMM,"17., Gschwandnergasse 42",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,1170,,16,,,,21,,,,,,,21,,Gschwandnergasse,42,,1000408,,,
KINDERGARTENOGD.7283617,7283617,POINT (16.33995262042058 48.21450189094232),Kindergarten Heidi,Pädagogischer Verein zur Förderung von Klein- und Vorschulkindern,"17., Hernalser Gürtel 23",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 2-6 Jahre",Privat,,1170,,,,,,,,,,,,,,15,Hernalser Gürtel,23,,1000409,40,,
KINDERGARTENOGD.7283618,7283618,POINT (16.320097655430757 48.22337871825111),Teddybär,Vindobini,"17., Schadinagasse 9",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,+43 1 480 44 73,1170,,20,,,,,,,,,,23,,13,Schadinagasse,9,,1000411,,,
KINDERGARTENOGD.7283619,7283619,POINT (16.346765101947593 48.22401685039225),Betriebskindergarten - Verein Evang. Krankenhaus Wien gemeinn. Betriebsges.m.b.H.,Evangelisches Krankenhaus Wien,"18., Canongasse 11",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,1180,,20,,,,,,,,,,,,,Canongasse,11,,1000415,,,
KINDERGARTENOGD.7283620,7283620,POINT (16.346550157227718 48.22658927089942),Sonnenschein,Kindergarten Sonnenschein,"18., Gentzgasse 12",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 2-6 Jahre,Privat,,1180,,,,,,,,,,,,,,,Gentzgasse,12,,1000416,17,,
KINDERGARTENOGD.7283621,7283621,POINT (16.3059912857549 48.2429167257059),Kindergarten,Rudolf Steiner Schulverein Pötzleinsdorf,"18., Geymüllergasse 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 479 83 44,1180,,,,,,50,,,,,,93,,,Geymüllergasse,1,,1000417,,,
KINDERGARTENOGD.7283497,7283497,POINT (16.375408122971674 48.215329696764336),Kindergarten Donauhof,Vindobini,"2., Obere Donaustraße 79",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,1020,,,,,,,,,,,,23,,15,Obere Donaustraße,79,,1000216,,,
KINDERGARTENOGD.7283498,7283498,POINT (16.37971323521644 48.22805759505669),Kindergarten,Erziehungs- & Bildungsstätte Beth Chabad - Lauder Chabad Campus,"2., Rabbiner-Schneerson-Platz 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,1020,,20,,,,144,,,,,,67,,17,Rabbiner-Schneerson-Platz,1,,1000218,,,
KINDERGARTENOGD.7283499,7283499,POINT (16.441397335101765 48.192866451377704),Neue Welt - Day Care Center,Erziehungs- & Bildungsstätte Beth Chabad - Lauder Chabad Campus,"2., Schwarzenstockallee 3A",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,1020,,20,,,,,,,,,,,,30,Schwarzenstockallee,3A,,1000219,,,
KINDERGARTENOGD.7283500,7283500,POINT (16.362942112205737 48.2510061883862),Kindergarten ´Nußdorf´,Elternverein Perlenmeer,"19., Heiligenstädter Straße 131-135",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,1190,,,,,,,,,,,,25,,15,Heiligenstädter Straße,131-135,,1000225,,,
KINDERGARTENOGD.7283501,7283501,POINT (16.35141297101143 48.23875913848287),Integrationskindergarten,Therapie Institut Keil GmbH,"19., Kreindlgasse 9",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Integrationsfamiliengruppe 0-6 Jahre,<br>Integrationsfamiliengruppe 2-6 Jahre",Privat,+4369914088181,1190,,,,,,,16,,,,,,,,Kreindlgasse,9,,1000226,,16,
KINDERGARTENOGD.7283502,7283502,POINT (16.300492293785936 48.251033063085956),Privatkindergarten Wichtelland,Kindergarten und Hort Wichtelland,"19., Neustift am Walde 81",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 3-10 Jahre,Privat,0677 63465269,1190,,,24,,,,,,,,,,,,Neustift am Walde,81,,1000227,,,
KINDERGARTENOGD.7283503,7283503,POINT (16.338747449687276 48.25454206366155),Kindergarten,Schwedischer Schulverein in Wien (Svenska Skolföreningen i Wien),"19., Scheibelreitergasse 15",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,1190,,20,,,,,,,,,,25,,,Scheibelreitergasse,15,,1000232,,,
KINDERGARTENOGD.7283504,7283504,POINT (16.38543694788713 48.23592058925612),Privatkdg. ´Mini Mundus´,Vindobini,"20., Donaueschingenstraße 20/4",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,1200,,43,,,,,,,,,,,,15,Donaueschingenstraße,20,4,1000234,,,
